Date,Tags,Name
"September 16, 2021",신권,
"September 16, 2021","OTP, 신권",
"September 16, 2021","계좌신규, 정부지원금, 체크카드",
"September 16, 2021",OTP,
"September 17, 2021",신권,
"September 17, 2021","대리인, 이체, 지급",
"September 17, 2021",신권,
"September 17, 2021",irp,
"September 17, 2021",신권,
"September 17, 2021",ATM,
"September 17, 2021",지급,
"September 17, 2021",대리인,
"September 17, 2021",지급,
"September 23, 2021",입금,
"September 23, 2021","대리인, 통장정리이월",
"September 23, 2021",이체,
"September 24, 2021","계좌신규, 고객신규, 대리인, 청약",
"September 24, 2021",이체,
"September 24, 2021",OTP,
"September 24, 2021","대리인, 사이버증권",
"September 24, 2021","대리인, 입금",
"September 24, 2021","OTP, 대리인",
"September 24, 2021","irp, 계좌해지, 상품상담",
"September 27, 2021","이체, 자동이체",
"September 27, 2021",OTP,
"September 27, 2021","OTP, 계좌해지, 대리인, 청약",
"September 27, 2021","STR, 고액, 이체, 입금",
"September 27, 2021",세금,
"September 27, 2021","ATM, 지급",
"September 27, 2021","대리인, 이체",
"September 27, 2021",고객정보,
"September 28, 2021","계좌해지, 대리인, 청약, 체크카드",
"September 28, 2021",체크카드,
"September 28, 2021",사이버증권,
"September 28, 2021","대리인, 통장정리이월",
"September 28, 2021",세금,
"September 29, 2021","대리인, 이체",
"September 29, 2021","계좌해지, 청약",
"September 29, 2021","고액, 이체",
"September 29, 2021","이체, 통장정리이월",
"September 29, 2021",잔액증명서,
"September 29, 2021","irp, 계좌신규",
"September 29, 2021","ATM, OTP",
"September 30, 2021",OTP,
"September 30, 2021",세금,
"September 30, 2021","계좌해지, 대리인",
"September 30, 2021",OTP,
"September 30, 2021",세금,
"September 30, 2021","대리인, 청약",
"September 30, 2021",OTP,
"September 30, 2021",OTP,
"September 30, 2021",OTP,
"September 30, 2021",입금,
"October 5, 2021",여신서류제출,
"October 5, 2021","irp, 계좌신규, 상품상담, 연금저축",
"October 5, 2021","OTP, irp, 계좌신규",
"October 5, 2021","수표, 입금",
"October 5, 2021",이체,
"October 5, 2021",여신서류제출,
"October 5, 2021","대리인, 이체, 지급, 통장정리이월",
"October 5, 2021",통장정리이월,
"October 6, 2021","수표, 입금",
"October 6, 2021","수표, 지급",
"October 6, 2021",OTP,
"October 6, 2021","계좌해지, 수표, 입금",
"October 6, 2021","수표, 입금",
"October 6, 2021",OTP,
"October 6, 2021",세금,
"October 6, 2021","대리인, 이체",
"October 7, 2021","irp, 상품상담",
"October 7, 2021",OTP,
"October 7, 2021",지급,
"October 7, 2021","계좌해지, 대리인, 청약",
"October 7, 2021","계좌해지, 대리인, 청약",
"October 7, 2021","계좌신규, 상품상담, 청약",
"October 7, 2021",거래중지계좌,
"October 7, 2021",통장정리이월,
"October 7, 2021",통장정리이월,
"October 8, 2021",수표,
"October 8, 2021","대리인, 사이버증권",
"October 8, 2021",체크카드,
"October 8, 2021",신권,
"October 8, 2021","상품상담, 청약",
"October 8, 2021",통장정리이월,
"October 8, 2021",OTP,
"October 12, 2021","대리인, 이체, 입금",
"October 12, 2021",이체,
"October 12, 2021",사이버증권,
"October 12, 2021","OTP, 지급",
"October 12, 2021",카드수령,
"October 12, 2021",계좌신규,
"October 13, 2021",입금,
"October 13, 2021","거래중지계좌, 수표, 입금",
"October 13, 2021","계좌해지, 카드탈회",
"October 14, 2021","계좌해지, 청약",
"October 14, 2021",이체,
"October 14, 2021","계좌해지, 청약",
"October 14, 2021",OTP,
"October 14, 2021","수표, 입금",
"October 14, 2021","ATM, 계좌신규, 계좌해지, 고객신규, 대리인, 사이버증권, 청약, 체크카드",
"October 15, 2021","체크카드, 특수카드",
"October 15, 2021",이체,
"October 15, 2021","수표, 입금",
"October 15, 2021","OTP, 계좌신규, 대리인, 사이버증권",
"October 15, 2021",입금,
"October 15, 2021","계좌해지, 대출상담, 신용대출, 자동이체",
"October 15, 2021",지급,
"October 18, 2021",통장정리이월,
"October 18, 2021","대리인, 이체, 입금",
"October 18, 2021",OTP,
"October 18, 2021","대출조회, 청약, 청약상담",
"October 18, 2021",외환당발송금,
"October 18, 2021","대리인, 이체",
"October 18, 2021","보이스피싱, 체크카드",
"October 18, 2021","신용카드, 외국인",
"October 19, 2021",외환환전,
"October 19, 2021",입금,
"October 19, 2021",계좌해지,
"October 19, 2021","대리인, 청약",
"October 19, 2021",비밀번호,
"October 19, 2021",ATM,
"October 19, 2021","OTP, 금융공인인증서",
"October 19, 2021","ATM, 비밀번호",
"October 20, 2021",통장정리이월,
"October 20, 2021","계좌신규, 고객신규, 대리인, 사이버증권, 자동이체, 청약",
"October 20, 2021","계좌신규, 고객신규",
"October 20, 2021",OTP,
"October 20, 2021","대리인, 이체",
"October 20, 2021","계좌신규, 고객신규",
"October 21, 2021",irp,
"October 21, 2021","대리인, 사이버증권",
"October 21, 2021","지급, 체크카드",
"October 22, 2021",세금,
"October 22, 2021",비밃번호,
"October 22, 2021",통장정리이월,
"October 22, 2021",통장정리이월,
"October 22, 2021","외화예금, 외환환전",
"November 1, 2021","irp, 금융공인인증서, 상품상담",
"November 1, 2021","대리인, 이체",
"November 1, 2021",OTP,
"November 1, 2021","금융공인인증서, 세금",
"November 1, 2021",세금,
"November 1, 2021","irp, 고객신규",
"November 1, 2021",OTP,
"November 1, 2021","OTP, 이체",
"November 1, 2021","계좌해지, 신용대출",
"November 1, 2021","고액, 이체",
"November 1, 2021","NET점자서, 담보대출",
"November 2, 2021",세금,
"November 2, 2021",이체,
"November 2, 2021",정부지원금,
"November 2, 2021","계좌해지, 청약",
"November 2, 2021",대출조회,
"November 2, 2021",외환환전,
"November 2, 2021",비밀번호,
"November 2, 2021","OTP, 대출상담, 신용대출",
"November 3, 2021","고액, 이체",
"November 3, 2021",입금,
"November 3, 2021",OTP,
"November 3, 2021",이체,
"November 3, 2021",irp,
"November 3, 2021","ATM, 대리인, 자동이체",
"November 3, 2021",지급,
"November 4, 2021",한도제한,
"November 4, 2021","대출상담, 신용대출",
"November 4, 2021",외환환전,
"November 4, 2021",지급,
"November 8, 2021","사이버증권, 체크카드",
